"","metric","Biol","Bio_endpoint","Bio_threshold","hydro.endpoint","Threshold","Positive","Negative","Flow.Metric.Name","Flow.Component"
"29","CSCI_DS_Mag_50_0.79","CSCI","CSCI",0.79,"DS_Mag_50","Threshold90",3.35394346981153,-3.86884190328942,"Dry-season median baseflow","Dry-season baseflow"
"30","CSCI_DS_Mag_50_0.79","CSCI","CSCI",0.79,"DS_Mag_50","Threshold99",0.173650878543006,-0.500101432678331,"Dry-season median baseflow","Dry-season baseflow"
"31","CSCI_FA_Mag_0.79","CSCI","CSCI",0.79,"FA_Mag","Threshold70",9.26098247201102,-20.0552171592847,"Fall pulse magnitude","Fall pulse flow"
"32","CSCI_FA_Mag_0.79","CSCI","CSCI",0.79,"FA_Mag","Threshold90",23.0481781452212,-60.1278472263444,"Fall pulse magnitude","Fall pulse flow"
"33","CSCI_FA_Mag_0.79","CSCI","CSCI",0.79,"FA_Mag","Threshold99",1.88252913078953,-2.59810357454994,"Fall pulse magnitude","Fall pulse flow"
"34","CSCI_Peak_10_0.79","CSCI","CSCI",0.79,"Peak_10","Threshold70",3254.99364344861,-880.987686109092,"10-year flood magnitude","Peak flow"
"35","CSCI_Peak_10_0.79","CSCI","CSCI",0.79,"Peak_10","Threshold90",1221.68626387886,-2703.44870281185,"10-year flood magnitude","Peak flow"
"36","CSCI_Peak_10_0.79","CSCI","CSCI",0.79,"Peak_10","Threshold99",4587.97241216097,-105.272137987557,"10-year flood magnitude","Peak flow"
"37","CSCI_Peak_2_0.79","CSCI","CSCI",0.79,"Peak_2","Threshold70",1014.55210679394,-586.933326708289,"2-year flood magnitude","Peak flow"
"38","CSCI_Peak_2_0.79","CSCI","CSCI",0.79,"Peak_2","Threshold90",797.310968263451,-1774.21415488147,"2-year flood magnitude","Peak flow"
"39","CSCI_Peak_2_0.79","CSCI","CSCI",0.79,"Peak_2","Threshold99",1111.682719071,-63.241272948618,"2-year flood magnitude","Peak flow"
"40","CSCI_Peak_5_0.79","CSCI","CSCI",0.79,"Peak_5","Threshold70",4316.28125305448,-1237.67736448997,"5-year flood magnitude","Peak flow"
"41","CSCI_Peak_5_0.79","CSCI","CSCI",0.79,"Peak_5","Threshold90",2969.14316182745,-3920.97276992803,"5-year flood magnitude","Peak flow"
"42","CSCI_Peak_5_0.79","CSCI","CSCI",0.79,"Peak_5","Threshold99",4922.49339410664,-123.700047069655,"5-year flood magnitude","Peak flow"
"43","CSCI_SP_Mag_0.79","CSCI","CSCI",0.79,"SP_Mag","Threshold70",69.0547430354523,-969.077346257611,"Spring recession magnitude","Spring recession flow"
"44","CSCI_SP_Mag_0.79","CSCI","CSCI",0.79,"SP_Mag","Threshold90",197.757954064977,-785.023289886992,"Spring recession magnitude","Spring recession flow"
"45","CSCI_SP_Mag_0.79","CSCI","CSCI",0.79,"SP_Mag","Threshold99",7.26299977831565,-1041.73009206832,"Spring recession magnitude","Spring recession flow"
"46","CSCI_Wet_BFL_Mag_10_0.79","CSCI","CSCI",0.79,"Wet_BFL_Mag_10","Threshold70",2.64439564557973,-6.6106271775386,"Wet-season low baseflow","Wet-season baseflow"
"47","CSCI_Wet_BFL_Mag_10_0.79","CSCI","CSCI",0.79,"Wet_BFL_Mag_10","Threshold90",7.1875743002995,-19.5542471365326,"Wet-season low baseflow","Wet-season baseflow"
"48","CSCI_Wet_BFL_Mag_10_0.79","CSCI","CSCI",0.79,"Wet_BFL_Mag_10","Threshold99",0.531740027689113,-1.01419217309774,"Wet-season low baseflow","Wet-season baseflow"
"49","CSCI_Wet_BFL_Mag_50_0.79","CSCI","CSCI",0.79,"Wet_BFL_Mag_50","Threshold70",7.02016249489999,-31.9925233641535,"Wet-season median baseflow","Wet-season baseflow"
"50","CSCI_Wet_BFL_Mag_50_0.79","CSCI","CSCI",0.79,"Wet_BFL_Mag_50","Threshold90",20.2394558565609,-98.0855294560251,"Wet-season median baseflow","Wet-season baseflow"
"51","CSCI_Wet_BFL_Mag_50_0.79","CSCI","CSCI",0.79,"Wet_BFL_Mag_50","Threshold99",0.753481779538011,-3.19782796986256,"Wet-season median baseflow","Wet-season baseflow"
"52","CSCI_Q99_0.79","CSCI","CSCI",0.79,"Q99","Threshold70",656.774195969839,-1284.12357110703,"Magnitude of largest annual storm","Peak Flow"
"53","CSCI_Q99_0.79","CSCI","CSCI",0.79,"Q99","Threshold90",497.329976841418,-3956.13774120233,"Magnitude of largest annual storm","Peak Flow"
"54","CSCI_Q99_0.79","CSCI","CSCI",0.79,"Q99","Threshold99",872.999627632457,-128.605695520533,"Magnitude of largest annual storm","Peak Flow"
