I.Site,II.DeltaFFM_DS_Dur_WS,II.DeltaFFM_DS_Mag_50,II.DeltaFFM_FA_Mag,II.DeltaFFM_Peak_10,II.DeltaFFM_Peak_2,II.DeltaFFM_SP_Dur,II.DeltaFFM_SP_Mag,II.DeltaFFM_SP_Tim,II.DeltaFFM_Wet_BFL_Mag_50,III.Threshold,IV.Prob_ASCI_DS_Dur_WS,IV.Prob_ASCI_DS_Mag_50,IV.Prob_ASCI_Peak_2,IV.Prob_ASCI_SP_Dur,IV.Prob_ASCI_SP_Mag,IV.Prob_ASCI_Wet_BFL_Mag_50,IV.Prob_CSCI_DS_Dur_WS,IV.Prob_CSCI_DS_Mag_50,IV.Prob_CSCI_FA_Mag,IV.Prob_CSCI_Peak_10,IV.Prob_CSCI_SP_Tim,IV.Prob_CSCI_Wet_BFL_Mag_50,V.Result_ASCI_DS_Dur_WS,V.Result_ASCI_DS_Mag_50,V.Result_ASCI_Peak_2,V.Result_ASCI_SP_Dur,V.Result_ASCI_SP_Mag,V.Result_ASCI_Wet_BFL_Mag_50,V.Result_CSCI_DS_Dur_WS,V.Result_CSCI_DS_Mag_50,V.Result_CSCI_FA_Mag,V.Result_CSCI_Peak_10,V.Result_CSCI_SP_Tim,V.Result_CSCI_Wet_BFL_Mag_50,Column Name ,Lookup
201070,22,0.944344417,51.38896031,771.3611,625.3921,-36,99.4189,2,2.090836917,0.99,0.773970862,0.427183477,NA,0.413687008,0.392838972,0.461537525,0.688390552,0.685924205,0.232072633,NA,0.623283934,0.63636126,Current Delta FFM is augmented (long). Proposed project can decrease duration by 21 days to 24 days.,Current Delta FFM is augmented. Proposed project can decrease by 0.56 to 2 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is depleted (short). Proposed project can increase duration by 35  days to 37 days.,Current Delta FFM is augmented. Proposed project can decrease by 83 to 112 cfs.,Current Delta FFM is augmented. Proposed project can decrease by 1 to 5 cfs.,Current Delta FFM is augmented (long). Proposed project can decrease duration by 21 days to 24 days.,Current Delta FFM is augmented. Proposed project can decrease by 0.77 to 1 cfs.,Current Delta FFM is augmented. Proposed project can decrease by 50 to 54 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is augmented (late). Proposed project can change timing by 2 to 4 days earlier.,Current Delta FFM is augmented. Proposed project can decrease by 1 to 5 cfs.,V.Result_CSCI_Peak_10,Result CSCI Peak_10
201080,22,0.935943813,52.16389727,771.45954,629.2004,-41,98.4955,2,2.142275821,0.7,0.773970862,0.427288492,NA,0.345487595,0.392905956,0.461313101,0.688390552,0.686456501,0.225511482,NA,0.623283934,0.63588567,Current Delta FFM is within limits. Proposed project should not increase duration by more than 10 days or decrease duration by more than 75 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 10 cfs or decrease by more than 5 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is depleted (short). Proposed project can increase duration by 17  days to 59 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 385 cfs or decrease by more than 273 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 30 cfs or decrease by more than 86 cfs.,Current Delta FFM is augmented (long). Proposed project can decrease duration by 0.63 days to 62 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 2 cfs or decrease by more than 5 cfs.,Current Delta FFM is augmented. Proposed project can decrease by 29 to 112 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is within limits. Proposed project should not change timing by more than 7 days later or by more than 34 days earlier.,Current Delta FFM is within limits. Proposed project should not increase by more than 18 cfs or decrease by more than 100 cfs.,V.Result_CSCI_SP_Tim,Result CSCI SP_Tim
201080,22,0.935943813,52.16389727,771.45954,629.2004,-41,98.4955,2,2.142275821,0.9,0.773970862,0.427288492,NA,0.345487595,0.392905956,0.461313101,0.688390552,0.686456501,0.225511482,NA,0.623283934,0.63588567,Current Delta FFM is augmented (long). Proposed project can decrease duration by 11 days to 39 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 3 cfs or decrease by more than 3 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is depleted (short). Proposed project can increase duration by 33  days to 47 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 61 cfs or decrease by more than 157 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 8 cfs or decrease by more than 25 cfs.,Current Delta FFM is augmented (long). Proposed project can decrease duration by 14 days to 36 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 0.32 cfs or decrease by more than 3 cfs.,Current Delta FFM is augmented. Proposed project can decrease by 43 to 72 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is within limits. Proposed project should not change timing by more than 0.98 days later or by more than 13 days earlier.,Current Delta FFM is within limits. Proposed project should not increase by more than 5 cfs or decrease by more than 34 cfs.,V.Result_CSCI_Wet_BFL_Mag_50,Result CSCI Wet_BFL_Mag_50
201080,22,0.935943813,52.16389727,771.45954,629.2004,-41,98.4955,2,2.142275821,0.99,0.773970862,0.427288492,NA,0.345487595,0.392905956,0.461313101,0.688390552,0.686456501,0.225511482,NA,0.623283934,0.63588567,Current Delta FFM is augmented (long). Proposed project can decrease duration by 21 days to 24 days.,Current Delta FFM is augmented. Proposed project can decrease by 0.55 to 2 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is depleted (short). Proposed project can increase duration by 40  days to 42 days.,Current Delta FFM is augmented. Proposed project can decrease by 83 to 111 cfs.,Current Delta FFM is augmented. Proposed project can decrease by 1 to 5 cfs.,Current Delta FFM is augmented (long). Proposed project can decrease duration by 21 days to 24 days.,Current Delta FFM is augmented. Proposed project can decrease by 0.76 to 1 cfs.,Current Delta FFM is augmented. Proposed project can decrease by 50 to 55 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is augmented (late). Proposed project can change timing by 2 to 4 days earlier.,Current Delta FFM is augmented. Proposed project can decrease by 1 to 5 cfs.,,
201090,34,0,-28.08195157,33.14222,25.6666,-11,20.7698,0,0.037100064,0.7,0.649873126,0.439027585,NA,0.814175243,0.398558414,0.470509594,0.501435718,0.742502443,0.421153657,NA,0.666202388,0.655123836,Current Delta FFM is augmented (long). Proposed project can decrease duration by 2 days to 87 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 11 cfs or decrease by more than 4 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is within limits. Proposed project should not increase duration by more than 29 days or decrease duration by more than 13 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 463 cfs or decrease by more than 195 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 32 cfs or decrease by more than 84 cfs.,Current Delta FFM is augmented (long). Proposed project can decrease duration by 13 days to 74 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 3 cfs or decrease by more than 4 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 51 cfs or decrease by more than 32 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is within limits. Proposed project should not change timing by more than 9 days later or by more than 32 days earlier.,Current Delta FFM is within limits. Proposed project should not increase by more than 20 cfs or decrease by more than 98 cfs.,,
201090,34,0,-28.08195157,33.14222,25.6666,-11,20.7698,0,0.037100064,0.9,0.649873126,0.439027585,NA,0.814175243,0.398558414,0.470509594,0.501435718,0.742502443,0.421153657,NA,0.666202388,0.655123836,Current Delta FFM is augmented (long). Proposed project can decrease duration by 23 days to 51 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 4 cfs or decrease by more than 2 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is depleted (short). Proposed project can increase duration by 3  days to 17 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 138 cfs or decrease by more than 79 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 10 cfs or decrease by more than 23 cfs.,Current Delta FFM is augmented (long). Proposed project can decrease duration by 26 days to 48 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 1 cfs or decrease by more than 2 cfs.,Current Delta FFM is depleted. Proposed project can increase by 8 to 37 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is within limits. Proposed project should not change timing by more than 3 days later or by more than 11 days earlier.,Current Delta FFM is within limits. Proposed project should not increase by more than 7 cfs or decrease by more than 32 cfs.,,
201090,34,0,-28.08195157,33.14222,25.6666,-11,20.7698,0,0.037100064,0.99,0.649873126,0.439027585,NA,0.814175243,0.398558414,0.470509594,0.501435718,0.742502443,0.421153657,NA,0.666202388,0.655123836,Current Delta FFM is augmented (long). Proposed project can decrease duration by 33 days to 36 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 0.39 cfs or decrease by more than 0.59 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is depleted (short). Proposed project can increase duration by 10  days to 12 days.,Current Delta FFM is augmented. Proposed project can decrease by 5 to 34 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 1 cfs or decrease by more than 3 cfs.,Current Delta FFM is augmented (long). Proposed project can decrease duration by 33 days to 36 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 0.17 cfs or decrease by more than 0.5 cfs.,Current Delta FFM is depleted. Proposed project can increase by 25 to 30 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is within limits. Proposed project should not change timing by more than 0.31 days later or by more than 2 days earlier.,Current Delta FFM is within limits. Proposed project should not increase by more than 0.72 cfs or decrease by more than 3 cfs.,,
201091,135,0,NA,13.06828,6.9604,-27.5,3.5041,8,-0.004021158,0.7,0,0.439027585,NA,0.538859648,0.399817767,0.252107281,0,0.742502443,NA,NA,0.485220721,0.367020575,Current Delta FFM is augmented (long). Proposed project can decrease duration by 103 days to 188 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 11 cfs or decrease by more than 4 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is depleted (short). Proposed project can increase duration by 3  days to 45 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 480 cfs or decrease by more than 178 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 32 cfs or decrease by more than 84 cfs.,Current Delta FFM is augmented (long). Proposed project can decrease duration by 114 days to 175 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 3 cfs or decrease by more than 4 cfs.,A probability of NA means no median delta FFM value is available.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is within limits. Proposed project should not change timing by more than 0.78 days later or by more than 40 days earlier.,Current Delta FFM is within limits. Proposed project should not increase by more than 20 cfs or decrease by more than 98 cfs.,,
201091,135,0,NA,13.06828,6.9604,-27.5,3.5041,8,-0.004021158,0.9,0,0.439027585,NA,0.538859648,0.399817767,0.252107281,0,0.742502443,NA,NA,0.485220721,0.367020575,Current Delta FFM is augmented (long). Proposed project can decrease duration by 124 days to 152 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 4 cfs or decrease by more than 2 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is depleted (short). Proposed project can increase duration by 20  days to 34 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 156 cfs or decrease by more than 62 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 10 cfs or decrease by more than 23 cfs.,Current Delta FFM is augmented (long). Proposed project can decrease duration by 127 days to 149 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 1 cfs or decrease by more than 2 cfs.,A probability of NA means no median delta FFM value is available.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is augmented (late). Proposed project can change timing by 5 to 19 days earlier.,Current Delta FFM is within limits. Proposed project should not increase by more than 7 cfs or decrease by more than 32 cfs.,,
201091,135,0,NA,13.06828,6.9604,-27.5,3.5041,8,-0.004021158,0.99,0,0.439027585,NA,0.538859648,0.399817767,0.252107281,0,0.742502443,NA,NA,0.485220721,0.367020575,Current Delta FFM is augmented (long). Proposed project can decrease duration by 134 days to 137 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 0.39 cfs or decrease by more than 0.59 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is depleted (short). Proposed project can increase duration by 26  days to 28 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 12 cfs or decrease by more than 16 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 1 cfs or decrease by more than 3 cfs.,Current Delta FFM is augmented (long). Proposed project can decrease duration by 134 days to 137 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 0.17 cfs or decrease by more than 0.5 cfs.,A probability of NA means no median delta FFM value is available.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is augmented (late). Proposed project can change timing by 8 to 10 days earlier.,Current Delta FFM is within limits. Proposed project should not increase by more than 0.76 cfs or decrease by more than 3 cfs.,,
201100,4,1.038375,160.0088084,512.10304,362.6644,-38,81.8901,0,1.225386803,0.7,0.959984946,0.426008459,NA,0.385924848,0.394111202,0.46531568,0.951349703,0.67993287,0.001643964,NA,0.666202388,0.644322416,Current Delta FFM is within limits. Proposed project should not increase duration by more than 28 days or decrease duration by more than 57 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 10 cfs or decrease by more than 6 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is depleted (short). Proposed project can increase duration by 14  days to 56 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 402 cfs or decrease by more than 256 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 31 cfs or decrease by more than 85 cfs.,Current Delta FFM is within limits. Proposed project should not increase duration by more than 17 days or decrease duration by more than 44 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 2 cfs or decrease by more than 5 cfs.,Current Delta FFM is augmented. Proposed project can decrease by 137 to 220 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is within limits. Proposed project should not change timing by more than 9 days later or by more than 32 days earlier.,Current Delta FFM is within limits. Proposed project should not increase by more than 19 cfs or decrease by more than 99 cfs.,,
201100,4,1.038375,160.0088084,512.10304,362.6644,-38,81.8901,0,1.225386803,0.9,0.959984946,0.426008459,NA,0.385924848,0.394111202,0.46531568,0.951349703,0.67993287,0.001643964,NA,0.666202388,0.644322416,Current Delta FFM is within limits. Proposed project should not increase duration by more than 7 days or decrease duration by more than 21 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 2 cfs or decrease by more than 3 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is depleted (short). Proposed project can increase duration by 30  days to 44 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 77 cfs or decrease by more than 140 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 9 cfs or decrease by more than 24 cfs.,Current Delta FFM is within limits. Proposed project should not increase duration by more than 4 days or decrease duration by more than 18 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 0.21 cfs or decrease by more than 3 cfs.,Current Delta FFM is augmented. Proposed project can decrease by 151 to 180 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is within limits. Proposed project should not change timing by more than 3 days later or by more than 11 days earlier.,Current Delta FFM is within limits. Proposed project should not increase by more than 6 cfs or decrease by more than 33 cfs.,,
201100,4,1.038375,160.0088084,512.10304,362.6644,-38,81.8901,0,1.225386803,0.99,0.959984946,0.426008459,NA,0.385924848,0.394111202,0.46531568,0.951349703,0.67993287,0.001643964,NA,0.666202388,0.644322416,Current Delta FFM is augmented (long). Proposed project can decrease duration by 3 days to 6 days.,Current Delta FFM is augmented. Proposed project can decrease by 0.65 to 2 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is depleted (short). Proposed project can increase duration by 37  days to 39 days.,Current Delta FFM is augmented. Proposed project can decrease by 66 to 95 cfs.,Current Delta FFM is augmented. Proposed project can decrease by 0.17 to 4 cfs.,Current Delta FFM is augmented (long). Proposed project can decrease duration by 3 days to 6 days.,Current Delta FFM is augmented. Proposed project can decrease by 0.86 to 2 cfs.,Current Delta FFM is augmented. Proposed project can decrease by 158 to 163 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is within limits. Proposed project should not change timing by more than 0.31 days later or by more than 2 days earlier.,Current Delta FFM is augmented. Proposed project can decrease by 0.47 to 4 cfs.,,
203010,19.5,0.520229898,1.379242789,126.52614,83.8251,-45.5,23.3293,18.5,0.430900992,0.7,0.800065024,0.432493299,NA,0.287529084,0.398371838,0.468787556,0.727712744,0.712167185,0.769089668,NA,0.260424641,0.651561286,Current Delta FFM is within limits. Proposed project should not increase duration by more than 13 days or decrease duration by more than 72 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 10 cfs or decrease by more than 5 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is depleted (short). Proposed project can increase duration by 21  days to 63 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 460 cfs or decrease by more than 198 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 32 cfs or decrease by more than 84 cfs.,Current Delta FFM is within limits. Proposed project should not increase duration by more than 2 days or decrease duration by more than 60 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 3 cfs or decrease by more than 4 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 22 cfs or decrease by more than 62 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is augmented (late). Proposed project can change timing by 10 to 50 days earlier.,Current Delta FFM is within limits. Proposed project should not increase by more than 20 cfs or decrease by more than 99 cfs.,,
203010,19.5,0.520229898,1.379242789,126.52614,83.8251,-45.5,23.3293,18.5,0.430900992,0.9,0.800065024,0.432493299,NA,0.287529084,0.398371838,0.468787556,0.727712744,0.712167185,0.769089668,NA,0.260424641,0.651561286,Current Delta FFM is augmented (long). Proposed project can decrease duration by 9 days to 37 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 3 cfs or decrease by more than 2 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is depleted (short). Proposed project can increase duration by 38  days to 52 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 136 cfs or decrease by more than 82 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 10 cfs or decrease by more than 23 cfs.,Current Delta FFM is augmented (long). Proposed project can decrease duration by 12 days to 33 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 0.73 cfs or decrease by more than 2 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 8 cfs or decrease by more than 21 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is augmented (late). Proposed project can change timing by 16 to 29 days earlier.,Current Delta FFM is within limits. Proposed project should not increase by more than 7 cfs or decrease by more than 32 cfs.,,
203010,19.5,0.520229898,1.379242789,126.52614,83.8251,-45.5,23.3293,18.5,0.430900992,0.99,0.800065024,0.432493299,NA,0.287529084,0.398371838,0.468787556,0.727712744,0.712167185,0.769089668,NA,0.260424641,0.651561286,Current Delta FFM is augmented (long). Proposed project can decrease duration by 18 days to 22 days.,Current Delta FFM is augmented. Proposed project can decrease by 0.13 to 1 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is depleted (short). Proposed project can increase duration by 44  days to 46 days.,Current Delta FFM is augmented. Proposed project can decrease by 7 to 36 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 0.62 cfs or decrease by more than 3 cfs.,Current Delta FFM is augmented (long). Proposed project can decrease duration by 19 days to 21 days.,Current Delta FFM is augmented. Proposed project can decrease by 0.35 to 1 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 0.5 cfs or decrease by more than 4 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is augmented (late). Proposed project can change timing by 18 to 20 days earlier.,Current Delta FFM is within limits. Proposed project should not increase by more than 0.32 cfs or decrease by more than 4 cfs.,,
204010,46,0.327074892,10.62204653,220.2679,168.1702,-73,16.5044,16,0.6405,0.7,0.530898724,0.434916784,NA,0,0.398869406,0.467871308,0.337407103,0.723676212,0.681276105,NA,0.308033854,0.649658169,Current Delta FFM is augmented (long). Proposed project can decrease duration by 14 days to 99 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 11 cfs or decrease by more than 5 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is depleted (short). Proposed project can increase duration by 49  days to 91 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 467 cfs or decrease by more than 191 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 31 cfs or decrease by more than 84 cfs.,Current Delta FFM is augmented (long). Proposed project can decrease duration by 25 days to 86 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 3 cfs or decrease by more than 4 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 12 cfs or decrease by more than 71 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is augmented (late). Proposed project can change timing by 7 to 48 days earlier.,Current Delta FFM is within limits. Proposed project should not increase by more than 20 cfs or decrease by more than 99 cfs.,,
204010,46,0.327074892,10.62204653,220.2679,168.1702,-73,16.5044,16,0.6405,0.9,0.530898724,0.434916784,NA,0,0.398869406,0.467871308,0.337407103,0.723676212,0.681276105,NA,0.308033854,0.649658169,Current Delta FFM is augmented (long). Proposed project can decrease duration by 35 days to 63 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 3 cfs or decrease by more than 2 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is depleted (short). Proposed project can increase duration by 65  days to 79 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 143 cfs or decrease by more than 75 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 10 cfs or decrease by more than 23 cfs.,Current Delta FFM is augmented (long). Proposed project can decrease duration by 38 days to 60 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 0.93 cfs or decrease by more than 2 cfs.,Current Delta FFM is augmented. Proposed project can decrease by 1 to 31 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is augmented (late). Proposed project can change timing by 13 to 27 days earlier.,Current Delta FFM is within limits. Proposed project should not increase by more than 6 cfs or decrease by more than 33 cfs.,,
204010,46,0.327074892,10.62204653,220.2679,168.1702,-73,16.5044,16,0.6405,0.99,0.530898724,0.434916784,NA,0,0.398869406,0.467871308,0.337407103,0.723676212,0.681276105,NA,0.308033854,0.649658169,Current Delta FFM is augmented (long). Proposed project can decrease duration by 45 days to 48 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 0.06 cfs or decrease by more than 0.91 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is depleted (short). Proposed project can increase duration by 72  days to 74 days.,Current Delta FFM is augmented. Proposed project can decrease by 0.57 to 29 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 0.41 cfs or decrease by more than 3 cfs.,Current Delta FFM is augmented (long). Proposed project can decrease duration by 45 days to 48 days.,Current Delta FFM is augmented. Proposed project can decrease by 0.15 to 0.83 cfs.,Current Delta FFM is augmented. Proposed project can decrease by 9 to 13 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is augmented (late). Proposed project can change timing by 16 to 18 days earlier.,Current Delta FFM is within limits. Proposed project should not increase by more than 0.11 cfs or decrease by more than 4 cfs.,,
205010,16,0.102512637,NA,60.55396,46.1734,-5.5,27.7368,0,0.09121436,0.7,0.836567834,0.437738239,NA,0.914768825,0.398050622,0.470272917,0.781872102,0.736692985,NA,NA,0.666202388,0.654635308,Current Delta FFM is within limits. Proposed project should not increase duration by more than 16 days or decrease duration by more than 69 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 11 cfs or decrease by more than 5 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is within limits. Proposed project should not increase duration by more than 23 days or decrease duration by more than 19 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 456 cfs or decrease by more than 202 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 32 cfs or decrease by more than 84 cfs.,Current Delta FFM is within limits. Proposed project should not increase duration by more than 5 days or decrease duration by more than 56 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 3 cfs or decrease by more than 4 cfs.,A probability of NA means no median delta FFM value is available.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is within limits. Proposed project should not change timing by more than 9 days later or by more than 32 days earlier.,Current Delta FFM is within limits. Proposed project should not increase by more than 20 cfs or decrease by more than 98 cfs.,,
205010,16,0.102512637,NA,60.55396,46.1734,-5.5,27.7368,0,0.09121436,0.9,0.836567834,0.437738239,NA,0.914768825,0.398050622,0.470272917,0.781872102,0.736692985,NA,NA,0.666202388,0.654635308,Current Delta FFM is augmented (long). Proposed project can decrease duration by 5 days to 33 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 3 cfs or decrease by more than 2 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is within limits. Proposed project should not increase duration by more than 12 days or decrease duration by more than 2 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 131 cfs or decrease by more than 86 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 10 cfs or decrease by more than 23 cfs.,Current Delta FFM is augmented (long). Proposed project can decrease duration by 8 days to 30 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 1 cfs or decrease by more than 2 cfs.,A probability of NA means no median delta FFM value is available.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is within limits. Proposed project should not change timing by more than 3 days later or by more than 11 days earlier.,Current Delta FFM is within limits. Proposed project should not increase by more than 7 cfs or decrease by more than 32 cfs.,,
